"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,2192.21,2218.69,2211.91,2200.29,2186.03,2172.37,2159.25,2149.92,2150.12,2152.62,2160.09,2163.56,2168.55,2168.42,2160.67,2148.04,2134.76,2132.91,2127.14,2121.4,2121.26,2124.58,2128.67,2134.64,2140,2143.41,2147.24,2148.57,2149.95,2151.15,2159.71,2167.05,2177.99,2187.17,2195.66,2210.14,2231.33,2253.56,2257.64,2257.43,2249.29,2245.23,2235.8,2228.54,2235.1,2244.69,2265.05,2291.1,2310.73,2332.05,2343.37,2354.05,2366.41,2371.02,2384.1,2402.34,2417.46,2433.22,2444.11,2456.63,2464.3,2474.95,2480.07,2485.68,2484.65,2481.38,2479.02,2489.41,2501.59,2513.95,2522.71,2536.35,2549.67,2562.29,2566.47,2566.59,2555.85,2546.12,2540.55,2545.22,2556.65,2569.38,2582.85,2586.27,2579.47,2572.92,2567.12,2571.33,2560.68,2558.75,2562.38,2568.15,2568.75,2569.72,2567.38,2570.13,2579.63,2579.14,2580.56,2573.54,2574.46,2575.69,2575.4,2576.06,2579.51,2584.97,2591.17,2599.59,2607.24,2611.34
139,"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,1464.18,1465.32,1460.3,1456.93,1438.61,1422.26,1413.32,1406.97,1404.16,1402.51,1407.42,1411.08,1413.47,1410.08,1405.58,1399.81,1390.79,1387.99,1389.88,1387.61,1389.92,1387.43,1393.26,1402.01,1411.45,1420.59,1417.74,1408.54,1402.66,1396.74,1400.39,1419.27,1433.06,1440.7,1444.5,1456.57,1466.91,1470.91,1472.21,1473.67,1479.74,,1481.78,1484.33,1495.47,1499.13,1504.96,1509.03,1533.01,1543.83,1541.85,1532.63,1532.86,1532.11,1530.28,1524.45,1526.49,1532.7,1537.58,1547.11,1550.95,1551.78,1545.63,1544.55,1536.56,1538.2,1534.03,1538.86,1547.48,1556.7,1562.31,1566.12,1569.61,1560.6,1556.68,1545.54,1535.78,1530.47,1527.71,1534.05,1542.85,1553.3,1564.98,1569.6,1568.69,1564.82,1556.26,1547.37,1538.9,1542.78,1550.29,1557.66,1571.24,1591.66,1602.24,1608.01,1610.3,1611.47,1610.8,1607.17,1590.45,1585.61,1587.92,1595.89,1607.61,1618.87,1630.32,1640.01,1645.17,1613.55
1090,"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,1122.3,1111.88,1102.15,1088.75,1085.22,1085.18,1088.8,1092.64,1094.85,1098.15,1102.07,1098.5,1097.39,1094.2,1089.17,1084.92,1083,1079.4,1078.52,1081.88,1089.71,1099.72,1108.71,1123,1134.24,1129.56,1122.79,1124.73,1137.78,1147.5,1154.59,1164.51,1183.97,1203.75,1216.01,1227.59,1239.6,1251.99,1264.56,1274.3,1279.74,,1275.74,1277.47,1283.69,1292.61,1310.99,1327.06,1339.46,1345.16,1354.03,1355.95,1358,1357.14,1361.04,1371.48,1382.08,1390.28,1398.1,1405.54,1408.89,1409.8,1408.38,1406.81,1406.21,1403.96,1402.79,1399.27,1399.59,1397.59,1400.85,1401.27,1401.89,1396.82,1389.55,1379.91,1371.63,1364.05,1358.06,1355.84,1356.17,1360.82,1360.45,1360.8,1358.53,1359.68,1361.83,1360.62,1359.2,1361.99,1364.34,1365.56,1368.84,1370.07,1371.55,1376.38,1378.3,1381,1385.24,1384.64,1378.68,1371.1,1364.12,1359.09,1357.5,1359.12,1361.76,1364.86,1366.82,1377.42
2402,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,1127.75,1114.01,1102.4,1093.92,1085.7,1079.69,1074.82,1072.16,1073.62,1076.16,1074.83,1071.03,1064.06,1057.71,1050.89,1048.18,1047.42,1045.01,1045.06,1048.51,1051.75,1057.57,1061.93,1064.36,1065.51,1067.69,1068.76,1070.97,1070.9,1069.86,1071.54,1076.02,1082.57,1091.41,1097.36,1103.23,1106.88,1106.5,1107.83,1110.59,1111.56,1112.04,1113.86,1119.35,1125.34,1128.78,1135.8,1143.9,1153.8,1163.22,1165.83,1167.92,1170.44,1175.97,1188.51,1196.66,1204.26,1212.56,1217.08,1219.03,1221.18,1222.99,1221.34,1223.85,1223.93,1230.48,1237.08,1247.75,1261.36,1272.34,1281.04,1283.89,1283.86,1282.78,1280.84,1280.36,1280.18,1279.99,1281.94,1288.21,1296.68,1302.04,1306.01,1307.05,1309.56,1310.1,1306.89,1306.7,1306.49,1307.53,1311.74,1320.06,1329.36,1337.77,1347.36,1357.42,1365.34,1371.72,1377.91,1381.05,1375.02,1372.96,1374.29,1378.4,1386.6,1397.95,1411.38,1424.34,1434.6,1463.88
2841,"San Diego County","CA","San Diego-Carlsbad","06","073",5,2027.55,2027.82,2026.01,2022.86,2007.5,1992.82,1981.66,1975.93,1973.34,1973.87,1978.76,1982.83,1984.6,1986.5,1984.84,1982.73,1977.96,1969.27,1956.79,1950.47,1950.04,1952.86,1958.91,1967.42,1975.52,1979.63,1980.57,1978.24,1975.43,1977.03,1978.39,1984.65,1991.58,2004.8,2019.88,2036.85,2050.46,2062.78,2071.87,2072.7,2072.71,2072.72,2080.62,2078.45,2075.41,2075.63,2088.3,2105.36,2124.81,2138.78,2155.07,2165.79,2179.67,2192.07,2204.95,2211.97,2219.74,2231.13,2243.74,2255.21,2262.61,2267.9,2272.06,2276.64,2280.15,2284.5,2290.93,2299.11,2309.54,2321.28,2332.25,2339.06,2342.13,2343.7,2343.56,2342.51,2343.67,2345.81,2350.81,2354.71,2366.39,2377.53,2389.26,2400.28,2404.38,2404.6,2398.51,2392.96,2385.9,2379.64,2378.22,2379.28,2390.4,2412.83,2432.44,2443.98,2448.82,2452.39,2454.83,2456.67,2456.82,2454.52,2452.33,2452.22,2474.23,2492.38,2509.91,2523.51,2531.6,2547.93
1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,2235.6,2239.28,2243.76,2244.12,2236.79,2224.38,2212.55,2203.51,2198.43,2206.59,2212.61,2208.99,2207.49,2202.4,2197.79,2194.47,2194.18,2196.02,2205.03,2209.97,2217.82,2229.73,2243.12,2255.58,2266.34,2262.49,2258.2,2246.74,2238.62,2233.98,2234.13,2239.24,2250.83,2265.38,2282.85,2299.77,2320.12,2334.54,2340.18,2345.84,2348.22,,2347.71,2333.58,2327.28,2328.53,2341.53,2365.48,2388.16,2405.98,2416.74,2418.84,2424.44,2433.83,2441.39,2456.75,2468.29,2485.41,2508.12,2519.52,2528.5,2537.43,2536.59,2536.09,2535.66,2535.6,2531.71,2525.37,2531.15,2538.54,2554.08,2569.3,2582.22,2585.82,2586.92,2592.16,2591.95,2587.1,2579.36,2578.39,2582.68,2586.55,2597.3,2608.4,2613.38,2612.05,2610.29,2612.59,2609.98,2613.09,2615.75,2622.43,2629.44,2632.14,2624.99,2619.3,2616.17,2617.66,2618.9,2629.3,2677.38,2685.58,2676.18,2664.81,2657.09,2654.24,2657.13,2663.51,2670.36,2673.25
581,"Kings County","NY","New York-Newark-Jersey City","36","047",7,1718.73,1710.92,1702.16,1682.18,1645.57,1620.3,1603.45,1599.68,1605.87,1619.12,1635.48,1648.41,1659.78,1664.88,1665.75,1661.14,1652.5,1648.36,1640.13,1644.62,1663.43,1685.73,1714.91,1741.46,1750.52,1753.92,1755.77,1754.78,1763.13,1762.32,1766.53,1782.54,1814.09,1846.26,1883.15,1903.54,1923.74,1930.1,1935.83,1943.11,1963.26,,1983.37,2005.26,2014.09,2015.8,2018.05,2050.57,2088.23,2089.07,2102.01,2088.95,2072.86,2069.1,2084.1,2111.1,2148.43,2161.89,2203,2230.88,2258.05,2286.95,2306.03,2311.28,2316.41,2326.65,2326.24,2314.41,2291.93,2296.49,2312.4,2325.27,2334.08,2347.3,2346.43,2345.71,2348.22,2333.2,2317.52,2293.76,2279.09,2267.87,2271.98,2280.43,2285.43,2280.77,2271.78,2276.6,2273.57,2259.28,2251.97,2244.21,2247.9,2249.49,2247.31,2243.89,2244.7,2249.2,2258.81,2269.85,2281.31,2280.74,2275.55,2275.69,2279.32,2285.81,2297.94,2311.86,2322.21,2355.58
2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,1590.09,1585.53,1593.32,1602.22,1603.29,1603.84,1601.27,1601.46,1604.26,1606.73,1611.77,1618.89,1625.13,1629.34,1628.67,1630.72,1631.68,1638.68,1649.37,1656.41,1662.22,1670.03,1682.06,1691.36,1695.37,1696.23,1701.41,1702.4,1706.24,1713.05,1715.78,1724,1729.9,1741.05,1754.82,1769.7,1789.3,1807.75,1822.06,1835.42,1844.74,,1851.37,1848.36,1846.26,1844.88,1858.12,1870.28,1877.54,1883.67,1877.77,1872.2,1874.7,1883.14,1890.97,1899.27,1922.65,1945.13,1964.71,1976.57,1979.25,1986.28,1982.37,1980.26,1987.59,1999.5,2004.97,2010.62,2017.1,2017.76,2015.41,2011.48,2009.11,2001.12,1992.22,1985.83,1979.09,1970.76,1959.61,1956.78,1957.31,1958.9,1959.53,1960.35,1961.47,1963.99,1960.35,1956.06,1959.46,1962.04,1965.88,1971.76,1978.31,1975.32,1970.08,1967.39,1970.16,1977.85,1983.59,1988.46,1964.25,1957.08,1956.3,1957.49,1958.98,1961.81,1965.67,1969.06,1971.91,1986.72
978,"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,1048.26,1058.39,1075.66,1088.67,1096.82,1091.43,1084.07,1078.02,1074.05,1072.62,1074.04,1073.36,1073.18,1070.97,1066.39,1064.2,1064.35,1064.52,1062.25,1060.57,1063.57,1071.24,1086.71,1100.22,1110.07,1120.16,1125.1,1133.74,1147.38,1156.32,1166.38,1174.13,1179.81,1187.69,1191.57,1199.04,1203.63,1208.93,1214.22,1221.84,1225.88,,1230.45,1233.34,1237.61,1241.3,1248.58,1255.04,1260.36,1263.92,1272.42,1277.23,1278.6,1283.77,1286.41,1292.48,1300.32,1308.27,1317.88,1328.8,1335.67,1339.87,1340.56,1341.87,1345.53,1347.19,1351.78,1356.08,1365.21,1374.69,1384.55,1392.5,1398.9,1402.69,1405.67,1405.94,1408.82,1411.6,1413.08,1416.13,1421.82,1427.26,1432.65,1434.46,1433.94,1432.48,1432.09,1430.06,1432.09,1433.13,1433.39,1435.41,1439.49,1445.55,1452.3,1455.82,1457.9,1461,1461.41,1461.48,1452.25,1447.48,1445.6,1446.41,1449.25,1453.44,1457.91,1461.73,1463.65,1474.24
1347,"Queens County","NY","New York-Newark-Jersey City","36","081",10,1493.1,1515.37,1523.99,1527.24,1526.35,1528.14,1525.21,1523.43,1524.23,1525.77,1530.67,1531.04,1534.39,1537.14,1536.8,1536.61,1543.33,1551,1558.47,1564.84,1566.54,1579.15,1587.36,1586.86,1587.83,1591.11,1599.91,1611.51,1617.52,1621.35,1631.83,1634.53,1640.77,1650.15,1661.78,1678.78,1700.45,1717.98,1739.95,1770.11,1789.12,,1807.5,1814.78,1818.5,1817.5,1820.41,1835.09,1842.62,1856.33,1853.82,1850.79,1856.25,1869.35,1890.7,1906.72,1923.83,1933.15,1958.68,1994.15,2025.78,2039.76,2042.59,2055.28,2069.67,2059.28,2057.21,2071.04,2078.04,2081.13,2080.39,2093.48,2106.76,2116.05,2125.23,2130.72,2138.04,2121.59,2121.03,2110.24,2105.32,2109.54,2127.37,2145.3,2140.7,2133.39,2116.28,2100.25,2088.87,2089.68,2091.7,2101.43,2107.63,2118.95,2134.51,2153.58,2169.49,2171.64,2165.42,2157.8,2171.94,2172.59,2164.51,2154.64,2146.88,2143.81,2142.03,2139.83,2141.09,2167.48
